,activation_3,activation_4
0,64,11
1,119,2
2,70,54
3,39,16
4,37,0
5,118,35
6,58,51
7,63,36
8,40,28
9,117,15
10,24,13
11,116,67
12,21,30
13,59,58
14,115,4
15,38,1
16,114,65
17,35,19
18,113,27
19,112,66
20,12,43
21,69,60
22,6,57
23,77,9
24,4,55
25,111,64
26,54,83
27,75,22
28,49,52
29,110,61
30,61,47
31,109,82
32,23,81
33,18,63
34,68,80
35,17,39
36,5,29
37,108,21
38,107,79
39,83,12
40,42,42
41,41,5
42,29,78
43,66,7
44,34,14
45,33,77
46,32,76
47,106,26
48,73,6
49,105,33
50,3,17
51,13,25
52,76,75
53,104,34
54,103,10
55,26,56
56,84,37
57,79,24
58,81,74
59,52,62
60,14,53
61,82,73
62,102,72
63,101,31
64,100,3
65,65,44
66,99,23
67,10,40
68,43,50
69,98,41
70,55,45
71,97,48
72,8,18
73,57,71
74,96,70
75,2,8
76,80,59
77,95,20
78,94,46
79,9,38
80,93,69
81,16,32
82,50,49
83,11,68
84,92,
85,47,
86,74,
87,31,
88,20,
89,1,
90,15,
91,30,
92,25,
93,0,
94,51,
95,22,
96,91,
97,7,
98,53,
99,60,
100,19,
101,71,
102,90,
103,89,
104,27,
105,78,
106,88,
107,67,
108,45,
109,36,
110,87,
111,56,
112,44,
113,86,
114,46,
115,28,
116,48,
117,85,
118,62,
119,72,
