,activation_3,activation_4
0,67,47.0
1,81,12.0
2,10,18.0
3,97,81.0
4,71,26.0
5,90,30.0
6,15,35.0
7,26,77.0
8,98,61.0
9,70,8.0
10,9,33.0
11,58,21.0
12,1,10.0
13,64,45.0
14,18,28.0
15,32,32.0
16,45,39.0
17,63,78.0
18,68,72.0
19,62,14.0
20,107,20.0
21,117,52.0
22,23,6.0
23,27,5.0
24,49,3.0
25,54,13.0
26,94,2.0
27,36,40.0
28,40,57.0
29,73,24.0
30,35,70.0
31,6,11.0
32,104,74.0
33,29,29.0
34,109,27.0
35,43,55.0
36,13,9.0
37,105,48.0
38,31,51.0
39,22,44.0
40,99,42.0
41,11,59.0
42,46,69.0
43,5,43.0
44,7,38.0
45,91,76.0
46,95,65.0
47,66,63.0
48,12,50.0
49,103,41.0
50,59,16.0
51,96,58.0
52,60,71.0
53,76,19.0
54,84,7.0
55,2,49.0
56,16,56.0
57,101,37.0
58,72,17.0
59,8,73.0
60,48,66.0
61,39,25.0
62,65,23.0
63,114,54.0
64,33,15.0
65,89,36.0
66,0,83.0
67,30,0.0
68,3,0.0
69,61,0.0
70,77,0.0
71,4,0.0
72,17,0.0
73,38,0.0
74,24,0.0
75,93,0.0
76,44,0.0
77,88,0.0
78,80,0.0
79,14,0.0
80,14,0.0
81,14,0.0
82,14,0.0
83,14,0.0
84,14,
85,14,
86,14,
87,14,
88,14,
89,14,
90,14,
91,14,
92,14,
93,14,
94,14,
95,14,
96,14,
97,14,
98,14,
99,14,
100,14,
101,14,
102,14,
103,14,
104,14,
105,14,
106,14,
107,14,
108,14,
109,14,
110,14,
111,14,
112,14,
113,14,
114,14,
115,14,
116,14,
117,14,
118,14,
119,14,
