,0,1,2,3,0,0
0,tensor(0.),tensor(1.7417),tensor(0.6685),tensor(1.6227),1.0082319,11
1,tensor(0.),tensor(3.3867),tensor(2.6724),tensor(2.8081),2.216781,2
2,tensor(0.4078),tensor(0.),tensor(0.),tensor(0.),0.10193868,54
3,tensor(0.5332),tensor(1.7826),tensor(0.6859),tensor(0.1141),0.7789466,16
4,tensor(0.),tensor(6.6091),tensor(4.8294),tensor(5.4027),4.210304,0
5,tensor(1.2297),tensor(0.),tensor(0.),tensor(0.1094),0.33477363,35
6,tensor(0.5017),tensor(0.),tensor(0.),tensor(0.),0.12543352,51
7,tensor(1.2383),tensor(0.),tensor(0.),tensor(0.),0.30957657,36
8,tensor(1.8323),tensor(0.),tensor(0.),tensor(0.),0.45806298,28
9,tensor(0.),tensor(1.6044),tensor(0.3407),tensor(1.2580),0.80077636,15
10,tensor(0.4172),tensor(1.4452),tensor(0.9083),tensor(0.7148),0.8713786,13
11,tensor(0.0214),tensor(0.),tensor(0.),tensor(0.),0.0053442325,67
12,tensor(1.5925),tensor(0.),tensor(0.),tensor(0.),0.39813477,30
13,tensor(0.2211),tensor(0.),tensor(0.),tensor(0.),0.055265293,58
14,tensor(0.),tensor(3.9262),tensor(2.2984),tensor(1.2198),1.8611046,4
15,tensor(0.),tensor(4.2662),tensor(3.1594),tensor(2.9755),2.6002731,1
16,tensor(0.),tensor(0.0266),tensor(0.),tensor(0.),0.006640982,65
17,tensor(0.),tensor(1.8188),tensor(0.9766),tensor(0.1485),0.7359605,19
18,tensor(0.6389),tensor(0.),tensor(0.4874),tensor(0.7172),0.46085814,27
19,tensor(0.),tensor(0.),tensor(0.0262),tensor(0.),0.006551899,66
20,tensor(0.),tensor(0.3198),tensor(0.1504),tensor(0.3298),0.20000261,43
21,tensor(0.),tensor(0.),tensor(0.),tensor(0.1974),0.04934831,60
22,tensor(0.2315),tensor(0.),tensor(0.),tensor(0.),0.057881206,57
23,tensor(0.),tensor(2.1888),tensor(0.9834),tensor(0.9682),1.0350928,9
24,tensor(0.3907),tensor(0.),tensor(0.),tensor(0.),0.097681776,55
25,tensor(0.),tensor(0.0947),tensor(0.),tensor(0.),0.023670156,64
26,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,83
27,tensor(2.5019),tensor(0.),tensor(0.),tensor(0.),0.6254657,22
28,tensor(0.),tensor(0.4008),tensor(0.),tensor(0.0454),0.11156702,52
29,tensor(0.),tensor(0.),tensor(0.),tensor(0.1459),0.036479253,61
30,tensor(0.),tensor(0.),tensor(0.),tensor(0.6627),0.16566315,47
31,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,82
32,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,81
33,tensor(0.),tensor(0.),tensor(0.),tensor(0.0964),0.024111949,63
34,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,80
35,tensor(0.),tensor(0.6154),tensor(0.),tensor(0.4658),0.27029967,39
36,tensor(0.),tensor(1.0909),tensor(0.2667),tensor(0.2778),0.4088539,29
37,tensor(0.),tensor(1.5804),tensor(0.6148),tensor(0.6545),0.71242124,21
38,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,79
39,tensor(0.8154),tensor(0.9788),tensor(0.9503),tensor(1.0762),0.95516336,12
40,tensor(0.8202),tensor(0.),tensor(0.),tensor(0.),0.205045,42
41,tensor(0.),tensor(2.5922),tensor(1.4722),tensor(2.9459),1.7525715,5
42,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,78
43,tensor(0.2538),tensor(2.3227),tensor(2.0075),tensor(1.4144),1.4996054,7
44,tensor(0.),tensor(2.0634),tensor(0.8195),tensor(0.5490),0.8579702,14
45,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,77
46,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,76
47,tensor(0.),tensor(1.1569),tensor(0.6228),tensor(0.0898),0.4673918,26
48,tensor(0.2119),tensor(2.3269),tensor(1.3555),tensor(3.0014),1.7239416,6
49,tensor(1.3879),tensor(0.),tensor(0.),tensor(0.),0.34698278,33
50,tensor(1.2088),tensor(0.),tensor(0.8359),tensor(0.9531),0.74947065,17
51,tensor(0.),tensor(1.1727),tensor(0.0394),tensor(0.6980),0.47752836,25
52,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,75
53,tensor(1.3772),tensor(0.),tensor(0.),tensor(0.),0.34430405,34
54,tensor(0.),tensor(0.9225),tensor(0.7108),tensor(2.4032),1.0091121,10
55,tensor(0.3573),tensor(0.),tensor(0.),tensor(0.),0.08932791,56
56,tensor(1.0912),tensor(0.),tensor(0.0632),tensor(0.),0.2885967,37
57,tensor(1.9294),tensor(0.),tensor(0.0943),tensor(0.),0.5059252,24
58,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,74
59,tensor(0.1434),tensor(0.),tensor(0.),tensor(0.),0.035847455,62
60,tensor(0.4415),tensor(0.),tensor(0.),tensor(0.),0.11038336,53
61,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,73
62,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,72
63,tensor(1.4965),tensor(0.),tensor(0.),tensor(0.),0.37412512,31
64,tensor(0.1907),tensor(3.1424),tensor(2.0607),tensor(3.2710),2.1662166,3
65,tensor(0.7816),tensor(0.),tensor(0.),tensor(0.),0.19541164,44
66,tensor(0.),tensor(0.9247),tensor(0.2513),tensor(1.1849),0.59023595,23
67,tensor(0.0514),tensor(0.2544),tensor(0.0129),tensor(0.6258),0.23609869,40
68,tensor(0.5259),tensor(0.),tensor(0.),tensor(0.),0.13148178,50
69,tensor(0.),tensor(0.6697),tensor(0.),tensor(0.2229),0.2231602,41
70,tensor(0.),tensor(0.1995),tensor(0.2725),tensor(0.2165),0.17212206,45
71,tensor(0.4769),tensor(0.),tensor(0.1798),tensor(0.),0.16416332,48
72,tensor(0.),tensor(1.6964),tensor(0.4874),tensor(0.7736),0.7393446,18
73,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,71
74,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,70
75,tensor(0.),tensor(1.2630),tensor(1.2046),tensor(1.9847),1.113068,8
76,tensor(0.2105),tensor(0.),tensor(0.),tensor(0.),0.052623168,59
77,tensor(0.6119),tensor(0.6382),tensor(0.5181),tensor(1.1434),0.7279172,20
78,tensor(0.),tensor(0.4774),tensor(0.1907),tensor(0.),0.16702709,46
79,tensor(0.2241),tensor(0.3046),tensor(0.4855),tensor(0.0876),0.2754387,38
80,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,69
81,tensor(0.),tensor(0.7610),tensor(0.),tensor(0.6556),0.3541677,32
82,tensor(0.5066),tensor(0.),tensor(0.),tensor(0.1489),0.16387728,49
83,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,68
